年份,月份,交易類別,縣市,鄉鎮市區,交易標的,土地區段位置.建物區段門牌,土地移轉總面積.平方公尺.,使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積.平方公尺.,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱, 總價.元. ,單價.元.平方公尺.,車位類別,車位移轉總面積.平方公尺.,車位總價.元.,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
101,8,租賃,臺北市,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段253巷51~100號,4065,住,NA,NA,10108,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980923,88.7,3,2,2,有,有,有,"36,000",406,坡道平面,0,0,309340,2775245,121.58827,25.08422
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區和平東路一段1~50號,12.65,商,NA,NA,10108,土地1建物1車位0,六層,12,辦公商業大樓,見使用執照,鋼筋混凝土造,780615,143.62,0,2,2,有,無,有,"46,000",320,,0,0,302819,2768827,121.52338,25.02653
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區安和路二段51~100號,7.09,住,NA,NA,10108,土地1建物1車位0,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,NA,73.19,2,1,1,有,有,有,"37,500",512,,0,0,305701,2769278,121.55195,25.03049
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區和平東路三段51~100號,4.43,其他,NA,NA,10108,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,681020,54.05,1,1,1,有,有,無,"18,000",333,,0,0,305439,2768631,121.54933,25.02466
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區建國南路二段294巷1~50號,23.27,住,NA,NA,10108,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,721129,117.02,3,2,2,有,無,有,"30,000",256,,0,0,304201,2768594,121.53706,25.02437
101,8,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區林森北路551~600號,9.37,商,NA,NA,10108,土地1建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,90.51,2,1,1,有,有,有,"54,000",597,,0,0,303098,2773174,121.52631,25.06576
101,8,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區建國北路二段201~250號,7.51,住,NA,NA,10108,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990924,153.34,3,1,2,有,有,有,"65,000",424,,0,0,304098,2772634,121.5362,25.06085
101,8,租賃,臺北市,松山區,建物,臺北市松山區敦化北路145巷1~50號,0,,NA,NA,10108,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),,加強磚造,NA,16.6,1,1,1,有,無,有,"9,000",542,,0,0,305593,2771832,121.55098,25.05355
101,8,租賃,臺北市,中山區,建物,臺北市中山區林森北路351~400號,80.25,住,NA,NA,10108,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,560825,80.25,0,1,1,有,無,無,"31,000",386,,0,0,303010,2772219,121.5254,25.05714
101,8,租賃,臺北市,信義區,建物,臺北市信義區虎林街132巷1~50號,32,住,NA,NA,10108,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,78.6,3,2,1,有,無,有,"16,000",204,,0,0,308195,2770376,121.57671,25.04031
101,8,租賃,臺北市,內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路151~200號,292,工,NA,NA,10108,土地1建物1車位5,七層,12,辦公商業大樓,工業用,見使用執照,891106,292,4,0,0,有,無,有,"155,000",0,坡道平面,17,0,308205,2774160,121.57697,25.07447
101,8,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區長安東路一段1~50號,56.17,商,NA,NA,10108,土地1建物1車位0,五層,11,辦公商業大樓,商業用,鋼筋混凝土造,650108,510.28,4,0,1,有,有,無,"130,000",255,,0,0,302806,2771363,121.52335,25.04942
101,8,租賃,臺北市,士林區,建物,臺北市士林區德行西路1~50號,0,,NA,NA,10108,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,970502,48.45,1,1,1,有,無,有,"20,000",413,,0,0,302802,2777468,121.52354,25.10454
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區和平東路一段151~200號,15.12,商,NA,NA,10108,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,770210,158.71,4,2,2,有,有,有,"50,000",315,,0,0,303905,2768799,121.53414,25.02623
